"Height","Width","Aspect_Ratio","IsAds"
57,468,8.2105,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
59,460,7.7966,1
60,234,3.9,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,234,3.9,1
60,234,3.9,1
60,88,1.4666,1
60,120,2,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
72,392,5.4444,1
60,468,7.8,1
60,468,7.8,1
50,107,2.14,1
50,107,2.14,1
50,107,2.14,1
50,107,2.14,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,120,2,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,234,3.9,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
60,120,2,1
65,125,1.923,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
44,127,2.8863,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,234,3.9,1
60,234,3.9,1
60,234,3.9,1
64,231,3.6093,1
60,95,1.5833,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
55,460,8.3636,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
50,400,8,1
50,400,8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
52,476,9.1538,1
45,100,2.2222,1
45,100,2.2222,1
45,100,2.2222,1
45,100,2.2222,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,468,7.8,1
60,400,6.6666,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,234,3.9,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,234,3.9,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
73,69,0.9452,1
72,392,5.4444,1
72,392,5.4444,1
60,468,7.8,1
60,88,1.4666,1
51,110,2.15686274509804,1
60,88,1.4666,1
60,468,7.8,1
60,88,1.4666,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,120,2,1
60,120,2,1
60,234,3.9,1
60,468,7.8,1
60,468,7.8,1
60,120,2,1
60,234,3.9,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
43,230,5.3488,1
43,230,5.3488,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
43,230,5.3488,1
43,230,5.3488,1
43,230,5.3488,1
43,230,5.3488,1
60,234,3.9,1
60,468,7.8,1
60,468,7.8,1
50,370,7.4,1
50,455,9.1,1
50,309,6.18,1
51,110,2.15686274509804,1
60,89,1.4833,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
73,69,0.9452,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
73,69,0.9452,1
73,69,0.9452,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,120,2,1
60,120,2,1
60,468,7.8,1
60,120,2,1
65,125,1.923,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
70,470,6.7142,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,43,0.7166,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,88,1.4666,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
40,400,10,1
50,400,8,1
60,468,7.8,1
60,468,7.8,1
40,400,10,1
60,468,7.8,1
60,468,7.8,1
40,400,10,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
60,468,7.8,1
45,345,7.6666,1
60,150,2.5,1
50,400,8,1
60,468,7.8,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
55,460,8.3636,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
55,460,8.3636,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
51,433,8.4901,1
51,110,2.15686274509804,1
40,100,2.5,1
60,468,7.8,1
60,468,7.8,1
51,110,2.15686274509804,1
50,400,8,1
60,468,7.8,1
50,400,8,1
60,468,7.8,1
60,468,7.8,1
59,164,2.7796,1
60,468,7.8,1
51,110,2.15686274509804,1
55,460,8.3636,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
72,392,5.4444,1
51,110,2.15686274509804,1
68,612,9,1
60,440,7.3333,1
60,130,2.1666,1
60,430,7.1666,1
60,468,7.8,1
50,400,8,1
60,468,7.8,1
60,468,7.8,1
55,460,8.3636,1
51,110,2.15686274509804,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
51,110,2.15686274509804,1
60,468,7.8,1
71,164,2.3098,1
60,280,4.6666,1
38,264,6.9473,1
55,416,7.5636,1
60,150,2.5,1
72,144,2,1
60,468,7.8,1
50,150,3,1
50,150,3,1
50,150,3,1
60,468,7.8,1
51,110,2.15686274509804,1
51,110,2.15686274509804,1
50,150,3,1
60,468,7.8,1
40,400,10,1
60,468,7.8,1
51,110,2.15686274509804,0
51,110,2.15686274509804,0
46,109,2.3695,0
12,57,4.75,0
95,150,1.5789,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
30,130,4.3333,0
35,36,1.0285,0
80,92,1.15,0
20,90,4.5,0
46,109,2.3695,0
51,110,2.15686274509804,0
20,90,4.5,0
51,110,2.15686274509804,0
12,117,9.75,0
110,111,1.009,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
15,110,7.33333333333333,0
100,100,1,0
11,96,8.7272,0
50,50,1,0
50,58,1.16,0
20,90,4.5,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
30,130,4.3333,0
51,110,2.15686274509804,0
63,110,1.746,0
51,110,2.15686274509804,0
40,50,1.25,0
51,110,2.15686274509804,0
52,144,2.7692,0
24,75,3.125,0
31,88,2.8387,0
30,130,4.3333,0
95,64,0.6736,0
51,110,2.15686274509804,0
62,88,1.4193,0
106,183,1.7264,0
20,116,5.8,0
51,35,0.6862,0
39,120,3.0769,0
30,130,4.3333,0
55,58,1.0545,0
51,110,2.15686274509804,0
40,46,1.15,0
51,110,2.15686274509804,0
11,89,8.0909,0
51,110,2.15686274509804,0
60,117,1.95,0
51,35,0.6862,0
52,144,2.7692,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
30,130,4.3333,0
90,120,1.3333,0
50,93,1.86,0
25,100,4,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
50,45,0.9,0
60,60,1,0
12,101,8.4166,0
46,109,2.3695,0
32,32,1,0
27,41,1.5185,0
51,110,2.15686274509804,0
11,64,5.8181,0
43,178,4.1395,0
51,110,2.15686274509804,0
46,109,2.3695,0
107,120,1.1214,0
71,95,1.338,0
51,110,2.15686274509804,0
60,51,0.85,0
51,110,2.15686274509804,0
30,130,4.3333,0
51,110,2.15686274509804,0
60,60,1,0
51,110,2.15686274509804,0
51,110,2.15686274509804,0
31,88,2.8387,0
100,110,1.1,0
30,130,4.3333,0
52,144,2.7692,0
12,101,8.4166,0
51,110,2.15686274509804,0
75,95,1.2666,0
51,110,2.15686274509804,0
25,100,4,0
51,110,2.15686274509804,0
40,40,1,0
